Создан как новый массив данных;Образец 1522 полученный PEService Дата пятница, декабря 01 2023
cm-1;%T
3650,00;101,11
3649,00;101,10
3648,00;101,10
3647,00;101,10
3646,00;101,10
3645,00;101,10
3644,00;101,10
3643,00;101,09
3642,00;101,09
3641,00;101,08
3640,00;101,08
3639,00;101,08
3638,00;101,08
3637,00;101,08
3636,00;101,08
3635,00;101,08
3634,00;101,07
3633,00;101,07
3632,00;101,07
3631,00;101,07
3630,00;101,07
3629,00;101,07
3628,00;101,07
3627,00;101,07
3626,00;101,07
3625,00;101,07
3624,00;101,07
3623,00;101,07
3622,00;101,07
3621,00;101,07
3620,00;101,07
3619,00;101,07
3618,00;101,07
3617,00;101,07
3616,00;101,07
3615,00;101,07
3614,00;101,07
3613,00;101,07
3612,00;101,06
3611,00;101,06
3610,00;101,06
3609,00;101,06
3608,00;101,06
3607,00;101,06
3606,00;101,06
3605,00;101,06
3604,00;101,06
3603,00;101,06
3602,00;101,06
3601,00;101,06
3600,00;101,06
3599,00;101,06
3598,00;101,06
3597,00;101,06
3596,00;101,06
3595,00;101,06
3594,00;101,06
3593,00;101,06
3592,00;101,05
3591,00;101,05
3590,00;101,05
3589,00;101,05
3588,00;101,05
3587,00;101,05
3586,00;101,04
3585,00;101,04
3584,00;101,04
3583,00;101,04
3582,00;101,04
3581,00;101,03
3580,00;101,03
3579,00;101,03
3578,00;101,02
3577,00;101,02
3576,00;101,02
3575,00;101,02
3574,00;101,02
3573,00;101,01
3572,00;101,01
3571,00;101,00
3570,00;101,00
3569,00;101,00
3568,00;101,00
3567,00;101,00
3566,00;100,99
3565,00;100,99
3564,00;100,99
3563,00;100,99
3562,00;100,99
3561,00;100,98
3560,00;100,98
3559,00;100,98
3558,00;100,97
3557,00;100,97
3556,00;100,97
3555,00;100,97
3554,00;100,97
3553,00;100,97
3552,00;100,97
3551,00;100,96
3550,00;100,96
3549,00;100,96
3548,00;100,96
3547,00;100,96
3546,00;100,96
3545,00;100,96
3544,00;100,95
3543,00;100,95
3542,00;100,95
3541,00;100,94
3540,00;100,94
3539,00;100,94
3538,00;100,94
3537,00;100,94
3536,00;100,94
3535,00;100,94
3534,00;100,94
3533,00;100,94
3532,00;100,93
3531,00;100,93
3530,00;100,93
3529,00;100,93
3528,00;100,92
3527,00;100,92
3526,00;100,92
3525,00;100,93
3524,00;100,93
3523,00;100,92
3522,00;100,92
3521,00;100,92
3520,00;100,91
3519,00;100,91
3518,00;100,90
3517,00;100,90
3516,00;100,90
3515,00;100,89
3514,00;100,89
3513,00;100,89
3512,00;100,88
3511,00;100,88
3510,00;100,87
3509,00;100,86
3508,00;100,86
3507,00;100,85
3506,00;100,85
3505,00;100,84
3504,00;100,84
3503,00;100,84
3502,00;100,83
3501,00;100,82
3500,00;100,81
3499,00;100,80
3498,00;100,80
3497,00;100,79
3496,00;100,78
3495,00;100,77
3494,00;100,76
3493,00;100,75
3492,00;100,74
3491,00;100,74
3490,00;100,73
3489,00;100,72
3488,00;100,72
3487,00;100,71
3486,00;100,71
3485,00;100,70
3484,00;100,69
3483,00;100,69
3482,00;100,69
3481,00;100,69
3480,00;100,69
3479,00;100,68
3478,00;100,67
3477,00;100,66
3476,00;100,65
3475,00;100,63
3474,00;100,62
3473,00;100,62
3472,00;100,62
3471,00;100,62
3470,00;100,63
3469,00;100,64
3468,00;100,63
3467,00;100,62
3466,00;100,59
3465,00;100,57
3464,00;100,54
3463,00;100,52
3462,00;100,51
3461,00;100,50
3460,00;100,49
3459,00;100,47
3458,00;100,46
3457,00;100,44
3456,00;100,42
3455,00;100,40
3454,00;100,39
3453,00;100,37
3452,00;100,36
3451,00;100,34
3450,00;100,32
3449,00;100,31
3448,00;100,29
3447,00;100,27
3446,00;100,25
3445,00;100,23
3444,00;100,21
3443,00;100,19
3442,00;100,17
3441,00;100,15
3440,00;100,14
3439,00;100,14
3438,00;100,15
3437,00;100,17
3436,00;100,19
3435,00;100,21
