Создан как новый массив данных;Образец 1520 полученный PEService Дата пятница, декабря 01 2023
cm-1;%T
4000,00;101,42
3999,00;101,42
3998,00;101,42
3997,00;101,42
3996,00;101,42
3995,00;101,42
3994,00;101,41
3993,00;101,41
3992,00;101,41
3991,00;101,41
3990,00;101,41
3989,00;101,41
3988,00;101,40
3987,00;101,40
3986,00;101,40
3985,00;101,40
3984,00;101,40
3983,00;101,40
3982,00;101,40
3981,00;101,40
3980,00;101,40
3979,00;101,40
3978,00;101,40
3977,00;101,40
3976,00;101,39
3975,00;101,39
3974,00;101,39
3973,00;101,40
3972,00;101,40
3971,00;101,40
3970,00;101,40
3969,00;101,40
3968,00;101,40
3967,00;101,41
3966,00;101,41
3965,00;101,41
3964,00;101,42
3963,00;101,42
3962,00;101,42
3961,00;101,42
3960,00;101,42
3959,00;101,42
3958,00;101,42
3957,00;101,42
3956,00;101,42
3955,00;101,42
3954,00;101,42
3953,00;101,42
3952,00;101,42
3951,00;101,42
3950,00;101,42
3949,00;101,42
3948,00;101,42
3947,00;101,42
3946,00;101,42
3945,00;101,42
3944,00;101,42
3943,00;101,42
3942,00;101,42
3941,00;101,43
3940,00;101,43
3939,00;101,43
3938,00;101,43
3937,00;101,42
3936,00;101,42
3935,00;101,42
3934,00;101,42
3933,00;101,42
3932,00;101,43
3931,00;101,43
3930,00;101,43
3929,00;101,43
3928,00;101,43
3927,00;101,42
3926,00;101,42
3925,00;101,42
3924,00;101,42
3923,00;101,42
3922,00;101,42
3921,00;101,42
3920,00;101,42
3919,00;101,42
3918,00;101,42
3917,00;101,41
3916,00;101,41
3915,00;101,41
3914,00;101,41
3913,00;101,41
3912,00;101,41
3911,00;101,41
3910,00;101,40
3909,00;101,40
3908,00;101,40
3907,00;101,40
3906,00;101,41
3905,00;101,41
3904,00;101,41
3903,00;101,42
3902,00;101,42
3901,00;101,42
3900,00;101,42
3899,00;101,42
3898,00;101,41
3897,00;101,41
3896,00;101,41
3895,00;101,41
3894,00;101,41
3893,00;101,41
3892,00;101,41
3891,00;101,40
3890,00;101,41
3889,00;101,41
3888,00;101,41
3887,00;101,41
3886,00;101,41
3885,00;101,42
3884,00;101,42
3883,00;101,42
3882,00;101,42
3881,00;101,42
3880,00;101,42
3879,00;101,42
3878,00;101,41
3877,00;101,41
3876,00;101,41
3875,00;101,41
3874,00;101,40
3873,00;101,40
3872,00;101,40
3871,00;101,40
3870,00;101,41
3869,00;101,41
3868,00;101,41
3867,00;101,41
3866,00;101,41
3865,00;101,41
3864,00;101,41
3863,00;101,41
3862,00;101,41
3861,00;101,40
3860,00;101,40
3859,00;101,40
3858,00;101,40
3857,00;101,39
3856,00;101,39
3855,00;101,39
3854,00;101,40
3853,00;101,40
3852,00;101,40
3851,00;101,41
3850,00;101,41
3849,00;101,41
3848,00;101,42
3847,00;101,42
3846,00;101,41
3845,00;101,41
3844,00;101,41
3843,00;101,41
3842,00;101,40
3841,00;101,40
3840,00;101,40
3839,00;101,40
3838,00;101,40
3837,00;101,40
3836,00;101,40
3835,00;101,41
3834,00;101,41
3833,00;101,41
3832,00;101,41
3831,00;101,41
3830,00;101,40
3829,00;101,40
3828,00;101,40
3827,00;101,40
3826,00;101,40
3825,00;101,41
3824,00;101,41
3823,00;101,41
3822,00;101,41
3821,00;101,41
3820,00;101,41
3819,00;101,41
3818,00;101,41
3817,00;101,41
3816,00;101,41
3815,00;101,41
3814,00;101,41
3813,00;101,41
3812,00;101,41
3811,00;101,41
3810,00;101,41
3809,00;101,41
3808,00;101,41
3807,00;101,41
3806,00;101,41
3805,00;101,41
3804,00;101,41
3803,00;101,41
3802,00;101,41
3801,00;101,41
3800,00;101,41
3799,00;101,41
3798,00;101,41
3797,00;101,41
3796,00;101,41
3795,00;101,41
3794,00;101,41
3793,00;101,41
3792,00;101,41
3791,00;101,41
3790,00;101,40
3789,00;101,40
3788,00;101,40
3787,00;101,40
3786,00;101,40
3785,00;101,40
3784,00;101,40
3783,00;101,40
3782,00;101,40
3781,00;101,40
3780,00;101,40
3779,00;101,41
3778,00;101,40
3777,00;101,40
3776,00;101,40
3775,00;101,40
3774,00;101,40
3773,00;101,40
3772,00;101,40
3771,00;101,40
3770,00;101,40
3769,00;101,40
3768,00;101,40
3767,00;101,39
3766,00;101,39
3765,00;101,40
3764,00;101,40
3763,00;101,40
3762,00;101,40
3761,00;101,40
3760,00;101,40
3759,00;101,40
3758,00;101,40
3757,00;101,40
3756,00;101,39
3755,00;101,39
3754,00;101,40
3753,00;101,40
3752,00;101,40
3751,00;101,40
3750,00;101,40
3749,00;101,41
3748,00;101,41
3747,00;101,41
3746,00;101,41
3745,00;101,41
3744,00;101,41
3743,00;101,41
3742,00;101,41
3741,00;101,41
3740,00;101,42
3739,00;101,42
3738,00;101,42
3737,00;101,42
3736,00;101,43
3735,00;101,43
3734,00;101,42
3733,00;101,42
3732,00;101,42
3731,00;101,41
3730,00;101,41
3729,00;101,41
3728,00;101,41
3727,00;101,41
3726,00;101,40
3725,00;101,40
3724,00;101,40
3723,00;101,40
3722,00;101,40
3721,00;101,40
3720,00;101,39
3719,00;101,39
3718,00;101,39
3717,00;101,39
3716,00;101,39
3715,00;101,39
3714,00;101,40
3713,00;101,40
3712,00;101,40
3711,00;101,40
3710,00;101,40
3709,00;101,40
3708,00;101,39
3707,00;101,39
3706,00;101,39
3705,00;101,39
3704,00;101,38
3703,00;101,38
3702,00;101,38
3701,00;101,38
3700,00;101,38
3699,00;101,37
3698,00;101,37
3697,00;101,37
3696,00;101,37
3695,00;101,37
3694,00;101,37
3693,00;101,37
3692,00;101,37
3691,00;101,37
3690,00;101,37
3689,00;101,36
3688,00;101,36
3687,00;101,36
3686,00;101,36
3685,00;101,36
3684,00;101,36
3683,00;101,36
3682,00;101,35
3681,00;101,35
3680,00;101,34
3679,00;101,34
3678,00;101,34
3677,00;101,34
3676,00;101,34
3675,00;101,34
3674,00;101,34
3673,00;101,34
3672,00;101,33
3671,00;101,33
3670,00;101,33
3669,00;101,33
3668,00;101,32
3667,00;101,32
3666,00;101,31
