Создан как новый массив данных;Образец 1521 полученный PEService Дата пятница, декабря 01 2023
cm-1;%T
4000,00;101,24
3999,00;101,24
3998,00;101,24
3997,00;101,24
3996,00;101,24
3995,00;101,24
3994,00;101,24
3993,00;101,24
3992,00;101,24
3991,00;101,24
3990,00;101,23
3989,00;101,23
3988,00;101,23
3987,00;101,23
3986,00;101,23
3985,00;101,23
3984,00;101,23
3983,00;101,23
3982,00;101,23
3981,00;101,23
3980,00;101,23
3979,00;101,22
3978,00;101,22
3977,00;101,22
3976,00;101,22
3975,00;101,22
3974,00;101,22
3973,00;101,22
3972,00;101,22
3971,00;101,22
3970,00;101,22
3969,00;101,23
3968,00;101,23
3967,00;101,23
3966,00;101,23
3965,00;101,24
3964,00;101,24
3963,00;101,24
3962,00;101,24
3961,00;101,24
3960,00;101,24
3959,00;101,24
3958,00;101,24
3957,00;101,24
3956,00;101,24
3955,00;101,25
3954,00;101,25
3953,00;101,25
3952,00;101,25
3951,00;101,25
3950,00;101,25
3949,00;101,25
3948,00;101,25
3947,00;101,25
3946,00;101,25
3945,00;101,25
3944,00;101,25
3943,00;101,25
3942,00;101,25
3941,00;101,25
3940,00;101,25
3939,00;101,25
3938,00;101,25
3937,00;101,25
3936,00;101,25
3935,00;101,25
3934,00;101,25
3933,00;101,25
3932,00;101,25
3931,00;101,25
3930,00;101,25
3929,00;101,25
3928,00;101,25
3927,00;101,25
3926,00;101,25
3925,00;101,25
3924,00;101,25
3923,00;101,25
3922,00;101,25
3921,00;101,25
3920,00;101,25
3919,00;101,25
3918,00;101,25
3917,00;101,25
3916,00;101,25
3915,00;101,25
3914,00;101,24
3913,00;101,24
3912,00;101,24
3911,00;101,23
3910,00;101,23
3909,00;101,23
3908,00;101,23
3907,00;101,24
3906,00;101,24
3905,00;101,24
3904,00;101,24
3903,00;101,24
3902,00;101,24
3901,00;101,25
3900,00;101,25
3899,00;101,24
3898,00;101,24
3897,00;101,24
3896,00;101,23
3895,00;101,23
3894,00;101,23
3893,00;101,23
3892,00;101,24
3891,00;101,24
3890,00;101,24
3889,00;101,24
3888,00;101,24
3887,00;101,24
3886,00;101,24
3885,00;101,24
3884,00;101,25
3883,00;101,24
3882,00;101,24
3881,00;101,24
3880,00;101,24
3879,00;101,24
3878,00;101,24
3877,00;101,24
3876,00;101,24
3875,00;101,24
3874,00;101,24
3873,00;101,24
3872,00;101,24
3871,00;101,24
3870,00;101,24
3869,00;101,24
3868,00;101,24
3867,00;101,23
3866,00;101,23
3865,00;101,23
3864,00;101,24
3863,00;101,24
3862,00;101,24
3861,00;101,24
3860,00;101,23
3859,00;101,23
3858,00;101,23
3857,00;101,23
3856,00;101,22
3855,00;101,23
3854,00;101,23
3853,00;101,23
3852,00;101,24
3851,00;101,24
3850,00;101,25
3849,00;101,25
3848,00;101,25
3847,00;101,25
3846,00;101,24
3845,00;101,24
3844,00;101,24
3843,00;101,23
3842,00;101,23
3841,00;101,23
3840,00;101,23
3839,00;101,23
3838,00;101,24
3837,00;101,24
3836,00;101,24
3835,00;101,24
3834,00;101,24
3833,00;101,24
3832,00;101,24
3831,00;101,24
3830,00;101,24
3829,00;101,24
3828,00;101,24
3827,00;101,24
3826,00;101,24
3825,00;101,24
3824,00;101,25
3823,00;101,25
3822,00;101,25
3821,00;101,25
3820,00;101,25
3819,00;101,25
3818,00;101,25
3817,00;101,25
3816,00;101,25
3815,00;101,25
3814,00;101,25
3813,00;101,25
3812,00;101,25
3811,00;101,25
3810,00;101,25
3809,00;101,25
3808,00;101,25
3807,00;101,24
3806,00;101,24
3805,00;101,24
3804,00;101,24
3803,00;101,24
3802,00;101,24
3801,00;101,25
3800,00;101,25
3799,00;101,25
3798,00;101,25
3797,00;101,25
3796,00;101,25
3795,00;101,25
3794,00;101,25
3793,00;101,24
3792,00;101,24
3791,00;101,24
3790,00;101,24
3789,00;101,24
3788,00;101,24
3787,00;101,24
