Создан как новый массив данных;Образец 1523 полученный PEService Дата пятница, декабря 01 2023
cm-1;%T
4000,00;101,21
3999,00;101,21
3998,00;101,21
3997,00;101,21
3996,00;101,21
3995,00;101,21
3994,00;101,21
3993,00;101,21
3992,00;101,21
3991,00;101,21
3990,00;101,21
3989,00;101,21
3988,00;101,21
3987,00;101,20
3986,00;101,20
3985,00;101,20
3984,00;101,20
3983,00;101,20
3982,00;101,20
3981,00;101,20
3980,00;101,19
3979,00;101,19
3978,00;101,19
3977,00;101,19
3976,00;101,19
3975,00;101,19
3974,00;101,19
3973,00;101,19
3972,00;101,19
3971,00;101,19
3970,00;101,19
3969,00;101,20
3968,00;101,20
3967,00;101,20
3966,00;101,20
3965,00;101,20
3964,00;101,21
3963,00;101,21
3962,00;101,21
3961,00;101,21
3960,00;101,21
3959,00;101,21
3958,00;101,21
3957,00;101,21
3956,00;101,21
3955,00;101,21
3954,00;101,21
3953,00;101,21
3952,00;101,21
3951,00;101,21
3950,00;101,21
3949,00;101,21
3948,00;101,21
3947,00;101,22
3946,00;101,22
3945,00;101,22
3944,00;101,21
3943,00;101,21
3942,00;101,21
3941,00;101,21
3940,00;101,21
3939,00;101,21
3938,00;101,21
3937,00;101,21
3936,00;101,21
3935,00;101,21
3934,00;101,21
3933,00;101,22
3932,00;101,22
3931,00;101,22
3930,00;101,22
3929,00;101,22
3928,00;101,22
3927,00;101,21
3926,00;101,22
3925,00;101,22
3924,00;101,22
3923,00;101,22
3922,00;101,21
3921,00;101,21
3920,00;101,21
3919,00;101,21
3918,00;101,21
3917,00;101,21
3916,00;101,21
3915,00;101,21
3914,00;101,21
3913,00;101,21
3912,00;101,21
3911,00;101,21
3910,00;101,21
3909,00;101,20
3908,00;101,20
3907,00;101,20
3906,00;101,20
3905,00;101,20
3904,00;101,20
3903,00;101,21
3902,00;101,21
3901,00;101,21
3900,00;101,21
3899,00;101,21
3898,00;101,20
3897,00;101,20
3896,00;101,20
3895,00;101,20
3894,00;101,20
3893,00;101,20
3892,00;101,20
3891,00;101,20
3890,00;101,20
3889,00;101,20
3888,00;101,20
3887,00;101,21
3886,00;101,21
3885,00;101,21
3884,00;101,21
3883,00;101,21
3882,00;101,21
3881,00;101,21
3880,00;101,21
3879,00;101,20
3878,00;101,20
3877,00;101,20
3876,00;101,20
3875,00;101,20
3874,00;101,20
3873,00;101,20
3872,00;101,20
3871,00;101,20
3870,00;101,20
3869,00;101,20
3868,00;101,20
3867,00;101,20
3866,00;101,20
3865,00;101,20
3864,00;101,20
3863,00;101,20
3862,00;101,20
3861,00;101,19
3860,00;101,19
3859,00;101,20
3858,00;101,19
3857,00;101,19
3856,00;101,19
3855,00;101,19
3854,00;101,20
3853,00;101,20
3852,00;101,20
3851,00;101,21
3850,00;101,21
3849,00;101,21
3848,00;101,21
3847,00;101,21
3846,00;101,21
3845,00;101,20
3844,00;101,20
3843,00;101,20
3842,00;101,20
3841,00;101,20
3840,00;101,19
3839,00;101,20
3838,00;101,20
3837,00;101,20
3836,00;101,20
3835,00;101,20
3834,00;101,20
3833,00;101,21
3832,00;101,21
3831,00;101,20
3830,00;101,20
3829,00;101,20
3828,00;101,20
3827,00;101,20
3826,00;101,20
3825,00;101,20
3824,00;101,21
3823,00;101,21
3822,00;101,21
3821,00;101,21
3820,00;101,21
3819,00;101,20
3818,00;101,21
3817,00;101,21
3816,00;101,21
3815,00;101,21
3814,00;101,21
3813,00;101,21
3812,00;101,21
3811,00;101,21
3810,00;101,20
3809,00;101,20
3808,00;101,20
3807,00;101,21
3806,00;101,21
3805,00;101,21
3804,00;101,21
3803,00;101,21
3802,00;101,21
3801,00;101,21
3800,00;101,21
3799,00;101,21
3798,00;101,21
3797,00;101,21
3796,00;101,21
3795,00;101,21
3794,00;101,21
3793,00;101,21
3792,00;101,20
3791,00;101,20
3790,00;101,20
3789,00;101,20
3788,00;101,20
3787,00;101,20
3786,00;101,21
3785,00;101,21
3784,00;101,21
3783,00;101,21
3782,00;101,21
3781,00;101,21
3780,00;101,20
3779,00;101,20
3778,00;101,20
3777,00;101,20
3776,00;101,20
3775,00;101,20
3774,00;101,20
3773,00;101,20
3772,00;101,20
3771,00;101,20
3770,00;101,20
3769,00;101,20
3768,00;101,20
3767,00;101,20
3766,00;101,20
3765,00;101,20
3764,00;101,20
3763,00;101,20
3762,00;101,19
3761,00;101,19
3760,00;101,19
3759,00;101,19
3758,00;101,20
3757,00;101,19
3756,00;101,19
3755,00;101,19
3754,00;101,19
3753,00;101,20
3752,00;101,20
3751,00;101,21
3750,00;101,21
3749,00;101,21
3748,00;101,21
3747,00;101,21
3746,00;101,21
3745,00;101,21
3744,00;101,21
3743,00;101,21
3742,00;101,21
3741,00;101,21
3740,00;101,21
3739,00;101,21
3738,00;101,21
3737,00;101,22
3736,00;101,22
3735,00;101,22
3734,00;101,21
3733,00;101,21
3732,00;101,21
3731,00;101,21
3730,00;101,21
3729,00;101,21
3728,00;101,21
3727,00;101,21
3726,00;101,21
3725,00;101,21
3724,00;101,20
3723,00;101,20
3722,00;101,20
3721,00;101,20
3720,00;101,19
3719,00;101,19
3718,00;101,19
3717,00;101,19
3716,00;101,19
3715,00;101,19
3714,00;101,19
3713,00;101,20
3712,00;101,20
3711,00;101,20
3710,00;101,20
3709,00;101,20
3708,00;101,20
3707,00;101,19
3706,00;101,19
3705,00;101,19
3704,00;101,19
3703,00;101,19
3702,00;101,19
3701,00;101,18
3700,00;101,18
3699,00;101,18
3698,00;101,18
3697,00;101,18
3696,00;101,18
3695,00;101,18
3694,00;101,18
3693,00;101,18
3692,00;101,17
3691,00;101,17
3690,00;101,17
3689,00;101,17
3688,00;101,17
3687,00;101,17
3686,00;101,17
3685,00;101,17
3684,00;101,17
3683,00;101,17
3682,00;101,17
3681,00;101,17
3680,00;101,16
3679,00;101,16
3678,00;101,16
3677,00;101,15
3676,00;101,15
3675,00;101,15
3674,00;101,15
3673,00;101,14
3672,00;101,14
3671,00;101,15
3670,00;101,15
3669,00;101,14
3668,00;101,14
3667,00;101,14
3666,00;101,13
3665,00;101,13
3664,00;101,13
3663,00;101,12
3662,00;101,12
3661,00;101,11
3660,00;101,11
3659,00;101,11
3658,00;101,11
3657,00;101,11
3656,00;101,11
3655,00;101,10
3654,00;101,10
3653,00;101,10
3652,00;101,10
3651,00;101,10
3650,00;101,10
3649,00;101,10
3648,00;101,10
3647,00;101,10
3646,00;101,10
3645,00;101,10
3644,00;101,09
3643,00;101,09
3642,00;101,09
3641,00;101,08
3640,00;101,08
3639,00;101,08
3638,00;101,07
3637,00;101,07
3636,00;101,07
3635,00;101,07
3634,00;101,07
3633,00;101,07
3632,00;101,07
3631,00;101,07
3630,00;101,07
3629,00;101,07
3628,00;101,07
3627,00;101,07
3626,00;101,07
3625,00;101,08
3624,00;101,07
3623,00;101,07
3622,00;101,07
