Создан как новый массив данных;Образец 1519 полученный PEService Дата пятница, декабря 01 2023
cm-1;%T
4000,00;101,03
3999,00;101,03
3998,00;101,03
3997,00;101,03
3996,00;101,03
3995,00;101,02
3994,00;101,02
3993,00;101,02
3992,00;101,02
3991,00;101,02
3990,00;101,02
3989,00;101,02
3988,00;101,02
3987,00;101,02
3986,00;101,02
3985,00;101,02
3984,00;101,01
3983,00;101,01
3982,00;101,01
3981,00;101,00
3980,00;101,00
3979,00;101,00
3978,00;101,00
3977,00;101,00
3976,00;101,00
3975,00;101,00
3974,00;101,00
3973,00;101,00
3972,00;101,00
3971,00;101,01
3970,00;101,01
3969,00;101,01
3968,00;101,01
3967,00;101,01
3966,00;101,02
3965,00;101,02
3964,00;101,02
3963,00;101,02
3962,00;101,02
3961,00;101,03
3960,00;101,03
3959,00;101,03
3958,00;101,03
3957,00;101,03
3956,00;101,03
3955,00;101,03
3954,00;101,03
3953,00;101,03
3952,00;101,03
3951,00;101,03
3950,00;101,03
3949,00;101,03
3948,00;101,03
3947,00;101,03
3946,00;101,03
3945,00;101,03
3944,00;101,03
3943,00;101,03
3942,00;101,03
3941,00;101,03
3940,00;101,03
3939,00;101,03
3938,00;101,03
3937,00;101,03
3936,00;101,03
3935,00;101,03
3934,00;101,03
3933,00;101,03
3932,00;101,03
3931,00;101,03
3930,00;101,03
3929,00;101,03
3928,00;101,03
3927,00;101,03
3926,00;101,03
3925,00;101,03
3924,00;101,03
3923,00;101,03
3922,00;101,03
3921,00;101,03
3920,00;101,02
3919,00;101,02
3918,00;101,02
3917,00;101,02
3916,00;101,02
3915,00;101,03
3914,00;101,02
3913,00;101,02
3912,00;101,02
3911,00;101,02
3910,00;101,02
3909,00;101,01
3908,00;101,02
3907,00;101,02
3906,00;101,02
3905,00;101,02
3904,00;101,02
3903,00;101,02
3902,00;101,02
3901,00;101,02
3900,00;101,02
3899,00;101,02
3898,00;101,02
3897,00;101,02
3896,00;101,02
3895,00;101,02
3894,00;101,02
3893,00;101,02
3892,00;101,02
3891,00;101,02
3890,00;101,02
3889,00;101,02
3888,00;101,02
3887,00;101,02
3886,00;101,02
3885,00;101,03
3884,00;101,03
3883,00;101,02
3882,00;101,02
3881,00;101,02
3880,00;101,02
3879,00;101,02
3878,00;101,02
3877,00;101,02
3876,00;101,02
3875,00;101,02
3874,00;101,02
3873,00;101,02
3872,00;101,02
3871,00;101,02
3870,00;101,01
3869,00;101,02
3868,00;101,02
3867,00;101,01
3866,00;101,01
3865,00;101,01
3864,00;101,01
3863,00;101,01
3862,00;101,01
3861,00;101,01
3860,00;101,01
3859,00;101,01
3858,00;101,01
3857,00;101,01
3856,00;101,00
3855,00;101,00
3854,00;101,01
3853,00;101,01
3852,00;101,01
3851,00;101,02
3850,00;101,02
3849,00;101,02
3848,00;101,02
3847,00;101,02
3846,00;101,02
3845,00;101,02
3844,00;101,02
3843,00;101,02
3842,00;101,02
3841,00;101,02
3840,00;101,02
3839,00;101,02
3838,00;101,02
3837,00;101,02
3836,00;101,02
3835,00;101,02
3834,00;101,02
3833,00;101,02
3832,00;101,02
3831,00;101,02
3830,00;101,02
3829,00;101,02
3828,00;101,02
3827,00;101,02
3826,00;101,02
3825,00;101,02
3824,00;101,02
3823,00;101,02
3822,00;101,03
3821,00;101,03
3820,00;101,03
3819,00;101,03
3818,00;101,03
3817,00;101,03
3816,00;101,03
3815,00;101,03
3814,00;101,03
3813,00;101,02
3812,00;101,02
3811,00;101,02
3810,00;101,02
3809,00;101,02
3808,00;101,02
3807,00;101,02
3806,00;101,03
3805,00;101,02
3804,00;101,02
3803,00;101,03
3802,00;101,03
3801,00;101,03
3800,00;101,03
3799,00;101,03
3798,00;101,03
3797,00;101,03
3796,00;101,03
3795,00;101,03
3794,00;101,02
3793,00;101,02
3792,00;101,02
3791,00;101,02
3790,00;101,02
3789,00;101,02
3788,00;101,02
3787,00;101,02
3786,00;101,02
3785,00;101,02
3784,00;101,02
3783,00;101,02
3782,00;101,03
3781,00;101,03
3780,00;101,03
3779,00;101,03
3778,00;101,03
3777,00;101,03
3776,00;101,02
3775,00;101,02
3774,00;101,02
3773,00;101,02
3772,00;101,01
3771,00;101,01
3770,00;101,01
3769,00;101,01
3768,00;101,01
3767,00;101,01
3766,00;101,01
3765,00;101,01
3764,00;101,02
3763,00;101,02
3762,00;101,02
3761,00;101,02
3760,00;101,02
3759,00;101,02
3758,00;101,01
3757,00;101,01
3756,00;101,01
3755,00;101,01
3754,00;101,01
3753,00;101,01
3752,00;101,01
3751,00;101,02
3750,00;101,02
3749,00;101,02
3748,00;101,03
3747,00;101,02
3746,00;101,02
3745,00;101,02
3744,00;101,03
3743,00;101,03
3742,00;101,02
3741,00;101,02
3740,00;101,03
3739,00;101,03
3738,00;101,03
3737,00;101,03
3736,00;101,03
3735,00;101,03
3734,00;101,03
3733,00;101,03
3732,00;101,03
3731,00;101,02
3730,00;101,02
3729,00;101,02
3728,00;101,02
3727,00;101,02
3726,00;101,02
3725,00;101,02
3724,00;101,02
3723,00;101,02
3722,00;101,02
3721,00;101,01
3720,00;101,01
3719,00;101,01
3718,00;101,01
3717,00;101,01
3716,00;101,01
3715,00;101,01
3714,00;101,01
3713,00;101,01
3712,00;101,01
3711,00;101,01
3710,00;101,01
3709,00;101,01
3708,00;101,01
3707,00;101,01
3706,00;101,01
3705,00;101,01
3704,00;101,01
3703,00;101,00
3702,00;101,00
3701,00;101,00
3700,00;101,00
3699,00;101,00
3698,00;101,00
3697,00;101,00
3696,00;101,00
3695,00;101,00
3694,00;101,00
3693,00;101,00
3692,00;100,99
3691,00;100,99
3690,00;100,99
3689,00;100,99
3688,00;100,99
3687,00;100,99
3686,00;100,98
3685,00;100,98
3684,00;100,98
3683,00;100,98
3682,00;100,98
3681,00;100,98
3680,00;100,97
3679,00;100,97
3678,00;100,97
3677,00;100,97
3676,00;100,96
3675,00;100,96
3674,00;100,96
3673,00;100,96
3672,00;100,95
3671,00;100,95
3670,00;100,95
3669,00;100,95
3668,00;100,95
3667,00;100,94
3666,00;100,94
3665,00;100,94
3664,00;100,93
3663,00;100,93
3662,00;100,93
3661,00;100,92
3660,00;100,92
3659,00;100,92
3658,00;100,92
3657,00;100,91
3656,00;100,91
3655,00;100,91
3654,00;100,90
3653,00;100,90
3652,00;100,90
3651,00;100,90
3650,00;100,91
3649,00;100,90
3648,00;100,90
3647,00;100,90
3646,00;100,89
3645,00;100,89
3644,00;100,89
3643,00;100,89
3642,00;100,89
3641,00;100,88
3640,00;100,88
3639,00;100,88
3638,00;100,87
3637,00;100,87
3636,00;100,87
3635,00;100,87
3634,00;100,87
3633,00;100,87
3632,00;100,87
3631,00;100,87
3630,00;100,87
3629,00;100,87
3628,00;100,87
3627,00;100,87
3626,00;100,87
3625,00;100,87
3624,00;100,87
3623,00;100,87
3622,00;100,87
3621,00;100,87
3620,00;100,87
3619,00;100,87
3618,00;100,87
3617,00;100,87
3616,00;100,87
3615,00;100,87
3614,00;100,87
3613,00;100,86
3612,00;100,86
3611,00;100,86
3610,00;100,86
3609,00;100,86
3608,00;100,86
3607,00;100,86
3606,00;100,86
3605,00;100,86
3604,00;100,86
3603,00;100,86
3602,00;100,86
